seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
0,0.2,8,0.3,0.01,0.0022053907688546204,0.0022053907688546204,0.3,1,false,true,candidate,000207
0,0.2,8,0.3,0.02,0.002205390345605185,0.002205390345605185,0.3,1,false,true,candidate,000208
0,0.2,8,0.5,0.005,0.0028211130866093725,0.002685295535572285,0.44,2,false,true,candidate,000209
0,0.2,8,0.5,0.01,0.0028211130830393394,0.0026852955389593536,0.44,2,false,true,candidate,000210
0,0.2,8,0.5,0.02,0.00282111266107421,0.002685295178353364,0.44,2,false,true,candidate,000211
0,0.2,8,1.0,0.005,0.00955488528168602,0.00955488528168602,1.0,2,false,true,candidate,000212
0,0.2,8,1.0,0.01,0.009554885179731465,0.009554885179731465,1.0,2,false,true,candidate,000213
0,0.2,8,1.0,0.02,0.009554884348561776,0.009554884348561776,1.0,2,false,true,candidate,000214
0,0.2,8,3.0,0.005,0.02975322584609863,0.02975322584609863,3.0,4,true,true,candidate,000215
0,0.2,8,3.0,0.01,0.02975322556975768,0.02975322556975768,3.0,4,true,true,candidate,000216
0,0.2,8,3.0,0.02,0.029753218851909402,0.029753218851909402,3.0,4,true,true,candidate,000217
0,0.2,12,0.3,0.005,0.01004426342250342,0.01004426342250342,0.3,1,false,true,candidate,000218
0,0.2,12,0.3,0.01,0.010044263078100248,0.010044263078100248,0.3,1,false,true,candidate,000219
0,0.2,12,0.3,0.02,0.010044255748953403,0.010044255748953403,0.3,1,false,true,candidate,000220
0,0.2,12,0.5,0.005,0.022158024050163653,0.022158024050163653,0.5,1,false,true,candidate,000221
0,0.2,12,0.5,0.01,0.022158023432317434,0.022158023432317434,0.5,1,false,true,candidate,000222
0,0.2,12,0.5,0.02,0.02215801044731636,0.02215801044731636,0.5,1,false,true,candidate,000223
0,0.2,12,1.0,0.005,0.039044013882512225,0.039044013882512225,1.0,3,false,false,candidate,000224
0,0.2,12,1.0,0.01,0.039044012778615696,0.039044012778615696,1.0,3,false,false,candidate,000225
0,0.2,12,1.0,0.02,0.03904398864793624,0.03904398864793624,1.0,3,false,false,candidate,000226
0,0.2,12,3.0,0.005,0.03927621298285578,0.017825791436613895,1.08,8,true,false,candidate,000227
0,0.2,12,3.0,0.01,0.03927621182484032,0.017825791072805578,1.08,8,true,false,candidate,000228
0,0.2,12,3.0,0.02,0.039276186275865384,0.0178257648395902,1.08,8,true,false,candidate,000229
0,0.2,16,0.3,0.005,0.004950271244858584,0.004950271244858584,0.3,1,false,true,candidate,000230
0,0.2,16,0.3,0.01,0.004950270784312538,0.004950270784312538,0.3,1,false,true,candidate,000231
0,0.2,16,0.3,0.02,0.004950258761589943,0.004950258761589943,0.3,1,false,true,candidate,000232
0,0.2,16,0.5,0.005,0.009389279319237165,0.009389279319237165,0.5,2,false,true,candidate,000233
0,0.2,16,0.5,0.01,0.009389278613450625,0.009389278613450625,0.5,2,false,true,candidate,000234
0,0.2,16,0.5,0.02,0.009389259472641909,0.009389259472641909,0.5,2,false,true,candidate,000235
0,0.2,16,1.0,0.005,0.016541458754130156,0.016541458754130156,1.0,3,false,true,candidate,000236
0,0.2,16,1.0,0.01,0.01654145740960211,0.01654145740960211,1.0,3,false,true,candidate,000237
0,0.2,16,1.0,0.02,0.016541420176558574,0.016541420176558574,1.0,3,false,true,candidate,000238
0,0.2,16,3.0,0.005,0.032385271554382644,0.02670138521084109,2.57,5,true,false,candidate,000239
0,0.2,16,3.0,0.01,0.03238526964549626,0.02670138281920953,2.57,5,true,false,candidate,000240
0,0.2,16,3.0,0.02,0.032374528809563596,0.026701297447038197,2.58,5,true,false,candidate,000241
0,0.25,4,0.3,0.005,0.0021340333344894713,0.0021340333344894713,0.3,2,false,true,candidate,000242
0,0.25,4,0.3,0.01,0.002134033339700192,0.002134033339700192,0.3,2,false,true,candidate,000243
0,0.25,4,0.3,0.02,0.002134033411837377,0.002134033411837377,0.3,2,false,true,candidate,000244
0,0.25,4,0.5,0.005,0.00774883753265998,0.00774883753265998,0.5,2,false,true,candidate,000245
0,0.25,4,0.5,0.01,0.007748837540554776,0.007748837540554776,0.5,2,false,true,candidate,000246
0,0.25,4,0.5,0.02,0.00774883764817913,0.00774883764817913,0.5,2,false,true,candidate,000247
0,0.25,4,1.0,0.005,0.02890109149210507,0.02890109149210507,1.0,3,false,true,candidate,000248
0,0.25,4,1.0,0.01,0.028901091508172216,0.028901091508172216,1.0,3,false,true,candidate,000249
0,0.25,4,1.0,0.02,0.02890109172785893,0.02890109172785893,1.0,3,false,true,candidate,000250
