d,path,phi,overall,below_gap1,below_accept
0.5900,enviesado,0.557697,0.587000,true,true
0.5920,enviesado,0.556197,0.585600,true,true
0.5940,enviesado,0.554698,0.584200,true,true
0.5960,enviesado,0.553199,0.582800,true,true
0.5980,enviesado,0.551699,0.581400,true,true
0.6000,enviesado,0.550200,0.580000,true,true
0.6020,enviesado,0.548701,0.578600,true,true
0.6040,enviesado,0.547201,0.577200,true,true
0.6060,enviesado,0.545702,0.575800,true,true
0.6080,enviesado,0.544203,0.574400,true,true
0.6100,enviesado,0.542703,0.573000,true,true
0.6120,enviesado,0.541204,0.571600,true,true
0.6140,enviesado,0.539705,0.570200,true,true
0.6160,enviesado,0.538205,0.568800,true,true
0.6180,enviesado,0.536706,0.567400,true,true
0.6200,enviesado,0.535207,0.566000,true,true
0.6220,enviesado,0.533707,0.564600,true,true
0.6240,enviesado,0.532208,0.563200,true,true
0.6260,enviesado,0.530709,0.561800,true,true
0.6280,enviesado,0.529209,0.560400,true,true
0.6300,enviesado,0.527710,0.559000,true,true
0.6320,enviesado,0.526211,0.557600,true,true
0.6340,enviesado,0.524711,0.556200,true,true
0.6360,enviesado,0.523212,0.554800,true,true
0.6380,enviesado,0.521713,0.553400,true,true
0.6400,enviesado,0.520213,0.552000,true,true
0.6420,enviesado,0.518714,0.550600,true,true
0.6440,enviesado,0.517215,0.549200,true,true
0.6460,enviesado,0.515715,0.547800,true,true
0.6480,enviesado,0.514216,0.546400,true,true
0.6500,enviesado,0.512717,0.545000,true,true
0.6520,enviesado,0.511217,0.543600,true,true
0.6540,enviesado,0.509718,0.542200,true,true
0.6560,enviesado,0.508219,0.540800,true,true
0.6580,enviesado,0.506719,0.539400,true,true
0.6600,enviesado,0.505220,0.538000,true,true
0.6620,enviesado,0.503721,0.536600,true,true
0.6640,enviesado,0.502221,0.535200,true,true
0.6660,enviesado,0.500722,0.533800,true,true
0.6680,enviesado,0.499223,0.532400,true,true
0.6700,enviesado,0.497723,0.531000,true,true
0.6720,enviesado,0.496224,0.529600,true,true
0.6740,enviesado,0.494725,0.528200,true,true
0.6760,enviesado,0.493225,0.526800,true,true
0.6780,enviesado,0.491726,0.525400,true,true
0.6800,enviesado,0.490227,0.524000,true,true
0.6820,enviesado,0.488727,0.522600,true,true
0.6840,enviesado,0.487228,0.521200,true,true
0.6860,enviesado,0.485729,0.519800,true,true
0.6880,enviesado,0.484229,0.518400,true,true
0.6900,enviesado,0.482730,0.517000,true,true
0.6920,enviesado,0.481231,0.515600,true,true
0.6940,enviesado,0.479731,0.514200,true,true
0.6960,enviesado,0.478232,0.512800,true,true
0.6980,enviesado,0.476733,0.511400,true,true
0.7000,enviesado,0.475233,0.510000,true,true
0.7020,enviesado,0.473734,0.508600,true,true
0.7040,enviesado,0.472235,0.507200,true,true
0.7060,enviesado,0.470735,0.505800,true,true
0.7080,enviesado,0.469236,0.504400,true,true
0.7100,enviesado,0.467737,0.503000,true,true
0.7120,enviesado,0.466237,0.501600,true,true
0.7140,enviesado,0.464738,0.500200,true,true
0.7160,enviesado,0.463239,0.498800,true,true
0.7180,enviesado,0.461739,0.497400,true,true
0.7200,enviesado,0.460240,0.496000,true,true
0.7220,enviesado,0.458741,0.494600,true,true
0.7240,enviesado,0.457241,0.493200,true,true
0.7260,enviesado,0.455742,0.491800,true,true
0.7280,enviesado,0.454243,0.490400,true,true
0.7300,enviesado,0.452743,0.489000,true,true
0.7320,enviesado,0.451244,0.487600,true,true
0.7340,enviesado,0.449745,0.486200,true,true
0.7360,enviesado,0.448245,0.484800,true,true
0.7380,enviesado,0.446746,0.483400,true,true
0.7400,enviesado,0.445247,0.482000,true,true
0.7420,enviesado,0.443747,0.480600,true,true
0.7440,enviesado,0.442248,0.479200,true,true
0.7460,enviesado,0.440749,0.477800,true,true
0.7480,enviesado,0.439249,0.476400,true,true
0.7500,enviesado,0.437750,0.475000,true,true
0.7520,enviesado,0.436251,0.473600,true,true
0.7540,enviesado,0.434751,0.472200,true,true
0.7560,enviesado,0.433252,0.470800,true,true
0.7580,enviesado,0.431753,0.469400,true,true
0.7600,enviesado,0.430253,0.468000,true,true
0.7620,enviesado,0.428754,0.466600,true,true
0.7640,enviesado,0.427255,0.465200,true,true
0.7660,enviesado,0.425755,0.463800,true,true
0.7680,enviesado,0.424256,0.462400,true,true
0.7700,enviesado,0.422757,0.461000,true,true
0.7720,enviesado,0.421257,0.459600,true,true
0.7740,enviesado,0.419758,0.458200,true,true
0.7760,enviesado,0.418259,0.456800,true,true
0.7780,enviesado,0.416759,0.455400,true,true
0.7800,enviesado,0.415260,0.454000,true,true
0.7820,enviesado,0.413761,0.452600,true,true
0.7840,enviesado,0.412261,0.451200,true,true
0.7860,enviesado,0.410762,0.449800,true,true
0.7880,enviesado,0.409263,0.448400,true,true
0.7900,enviesado,0.407763,0.447000,true,true
0.7920,enviesado,0.406264,0.445600,true,true
0.7940,enviesado,0.404765,0.444200,true,true
0.7960,enviesado,0.403265,0.442800,true,true
0.7980,enviesado,0.401766,0.441400,true,true
0.8000,enviesado,0.400267,0.440000,true,true
0.8020,enviesado,0.398767,0.438600,true,true
0.8040,enviesado,0.397268,0.437200,true,true
0.8060,enviesado,0.395769,0.435800,true,true
0.8080,enviesado,0.394269,0.434400,true,true
0.8100,enviesado,0.392770,0.433000,true,true
0.8120,enviesado,0.391271,0.431600,true,true
0.8140,enviesado,0.389771,0.430200,true,true
0.8160,enviesado,0.388272,0.428800,true,true
0.8180,enviesado,0.386773,0.427400,true,true
0.8200,enviesado,0.385273,0.426000,true,true
0.8220,enviesado,0.383774,0.424600,true,true
0.8240,enviesado,0.382275,0.423200,true,true
0.8260,enviesado,0.380775,0.421800,true,true
0.8280,enviesado,0.379276,0.420400,true,true
0.8300,enviesado,0.377777,0.419000,true,true
0.8320,enviesado,0.376277,0.417600,true,true
0.8340,enviesado,0.374778,0.416200,true,true
0.8360,enviesado,0.373279,0.414800,true,true
0.8380,enviesado,0.371779,0.413400,true,true
0.8400,enviesado,0.370280,0.412000,true,true
0.8420,enviesado,0.368781,0.410600,true,true
0.8440,enviesado,0.367281,0.409200,true,true
0.8460,enviesado,0.365782,0.407800,true,true
0.8480,enviesado,0.364283,0.406400,true,true
0.8500,enviesado,0.362783,0.405000,true,true
0.8520,enviesado,0.361284,0.403600,true,true
0.8540,enviesado,0.359785,0.402200,true,true
0.8560,enviesado,0.358285,0.400800,true,true
0.8580,enviesado,0.356786,0.399400,true,true
0.8600,enviesado,0.355287,0.398000,true,true
0.8620,enviesado,0.353787,0.396600,true,true
0.8640,enviesado,0.352288,0.395200,true,true
0.8660,enviesado,0.350789,0.393800,true,true
0.8680,enviesado,0.349289,0.392400,true,true
0.8700,enviesado,0.347790,0.391000,true,true
0.8720,enviesado,0.346291,0.389600,true,true
0.8740,enviesado,0.344791,0.388200,true,true
0.8760,enviesado,0.343292,0.386800,true,true
0.8780,enviesado,0.341793,0.385400,true,true
0.8800,enviesado,0.340293,0.384000,true,true
0.8820,enviesado,0.338794,0.382600,true,true
0.8840,enviesado,0.337295,0.381200,true,true
0.8860,enviesado,0.335795,0.379800,true,true
0.8880,enviesado,0.334296,0.378400,true,true
0.8900,enviesado,0.332797,0.377000,true,true
0.8920,enviesado,0.331297,0.375600,true,true
0.8940,enviesado,0.329798,0.374200,true,true
0.8960,enviesado,0.328299,0.372800,true,true
0.8980,enviesado,0.326799,0.371400,true,true
0.9000,enviesado,0.325300,0.370000,true,true
0.9020,enviesado,0.323801,0.368600,true,true
0.9040,enviesado,0.322301,0.367200,true,true
0.9060,enviesado,0.320802,0.365800,true,true
0.9080,enviesado,0.319303,0.364400,true,true
0.9100,enviesado,0.317803,0.363000,true,true
0.9120,enviesado,0.316304,0.361600,true,true
0.9140,enviesado,0.314805,0.360200,true,true
0.9160,enviesado,0.313305,0.358800,true,true
0.9180,enviesado,0.311806,0.357400,true,true
0.9200,enviesado,0.310307,0.356000,true,true
0.9220,enviesado,0.308807,0.354600,true,true
0.9240,enviesado,0.307308,0.353200,true,true
0.9260,enviesado,0.305809,0.351800,true,true
0.9280,enviesado,0.304309,0.350400,true,true
0.9300,enviesado,0.302810,0.349000,true,true
0.9320,enviesado,0.301311,0.347600,true,true
0.9340,enviesado,0.299811,0.346200,true,true
0.9360,enviesado,0.298312,0.344800,true,true
0.9380,enviesado,0.296813,0.343400,true,true
0.9400,enviesado,0.295313,0.342000,true,true
0.9420,enviesado,0.293814,0.340600,true,true
0.9440,enviesado,0.292315,0.339200,true,true
0.9460,enviesado,0.290815,0.337800,true,true
0.9480,enviesado,0.289316,0.336400,true,true
0.9500,enviesado,0.287817,0.335000,true,true
0.9520,enviesado,0.286317,0.333600,true,true
0.9540,enviesado,0.284818,0.332200,true,true
0.9560,enviesado,0.283319,0.330800,true,true
0.9580,enviesado,0.281819,0.329400,true,true
0.9600,enviesado,0.280320,0.328000,true,true
0.9620,enviesado,0.278821,0.326600,true,true
0.9640,enviesado,0.277321,0.325200,true,true
0.9660,enviesado,0.275822,0.323800,true,true
0.9680,enviesado,0.274323,0.322400,true,true
0.9700,enviesado,0.272823,0.321000,true,true
0.9720,enviesado,0.271324,0.319600,true,true
0.9740,enviesado,0.269825,0.318200,true,true
0.9760,enviesado,0.268325,0.316800,true,true
0.9780,enviesado,0.266826,0.315400,true,true
0.9800,enviesado,0.265327,0.314000,true,true
0.9820,enviesado,0.263827,0.312600,true,true
0.9840,enviesado,0.262328,0.311200,true,true
0.9860,enviesado,0.260829,0.309800,true,true
0.9880,enviesado,0.259329,0.308400,true,true
0.9900,enviesado,0.257830,0.307000,true,true
0.9920,enviesado,0.256331,0.305600,true,true
0.9940,enviesado,0.254831,0.304200,true,true
0.9960,enviesado,0.253332,0.302800,true,true
0.9980,enviesado,0.251833,0.301400,true,true
1.0000,enviesado,0.250333,0.300000,true,true
