d,path,phi,overall,below_gap1,below_accept
0.5860,uniforme,0.414000,0.414000,true,true
0.5880,uniforme,0.412000,0.412000,true,true
0.5900,uniforme,0.410000,0.410000,true,true
0.5920,uniforme,0.408000,0.408000,true,true
0.5940,uniforme,0.406000,0.406000,true,true
0.5960,uniforme,0.404000,0.404000,true,true
0.5980,uniforme,0.402000,0.402000,true,true
0.6000,uniforme,0.400000,0.400000,true,true
0.6020,uniforme,0.398000,0.398000,true,true
0.6040,uniforme,0.396000,0.396000,true,true
0.6060,uniforme,0.394000,0.394000,true,true
0.6080,uniforme,0.392000,0.392000,true,true
0.6100,uniforme,0.390000,0.390000,true,true
0.6120,uniforme,0.388000,0.388000,true,true
0.6140,uniforme,0.386000,0.386000,true,true
0.6160,uniforme,0.384000,0.384000,true,true
0.6180,uniforme,0.382000,0.382000,true,true
0.6200,uniforme,0.380000,0.380000,true,true
0.6220,uniforme,0.378000,0.378000,true,true
0.6240,uniforme,0.376000,0.376000,true,true
0.6260,uniforme,0.374000,0.374000,true,true
0.6280,uniforme,0.372000,0.372000,true,true
0.6300,uniforme,0.370000,0.370000,true,true
0.6320,uniforme,0.368000,0.368000,true,true
0.6340,uniforme,0.366000,0.366000,true,true
0.6360,uniforme,0.364000,0.364000,true,true
0.6380,uniforme,0.362000,0.362000,true,true
0.6400,uniforme,0.360000,0.360000,true,true
0.6420,uniforme,0.358000,0.358000,true,true
0.6440,uniforme,0.356000,0.356000,true,true
0.6460,uniforme,0.354000,0.354000,true,true
0.6480,uniforme,0.352000,0.352000,true,true
0.6500,uniforme,0.350000,0.350000,true,true
0.6520,uniforme,0.348000,0.348000,true,true
0.6540,uniforme,0.346000,0.346000,true,true
0.6560,uniforme,0.344000,0.344000,true,true
0.6580,uniforme,0.342000,0.342000,true,true
0.6600,uniforme,0.340000,0.340000,true,true
0.6620,uniforme,0.338000,0.338000,true,true
0.6640,uniforme,0.336000,0.336000,true,true
0.6660,uniforme,0.334000,0.334000,true,true
0.6680,uniforme,0.332000,0.332000,true,true
0.6700,uniforme,0.330000,0.330000,true,true
0.6720,uniforme,0.328000,0.328000,true,true
0.6740,uniforme,0.326000,0.326000,true,true
0.6760,uniforme,0.324000,0.324000,true,true
0.6780,uniforme,0.322000,0.322000,true,true
0.6800,uniforme,0.320000,0.320000,true,true
0.6820,uniforme,0.318000,0.318000,true,true
0.6840,uniforme,0.316000,0.316000,true,true
0.6860,uniforme,0.314000,0.314000,true,true
0.6880,uniforme,0.312000,0.312000,true,true
0.6900,uniforme,0.310000,0.310000,true,true
0.6920,uniforme,0.308000,0.308000,true,true
0.6940,uniforme,0.306000,0.306000,true,true
0.6960,uniforme,0.304000,0.304000,true,true
0.6980,uniforme,0.302000,0.302000,true,true
0.7000,uniforme,0.300000,0.300000,true,true
0.7020,uniforme,0.298000,0.298000,true,true
0.7040,uniforme,0.296000,0.296000,true,true
0.7060,uniforme,0.294000,0.294000,true,true
0.7080,uniforme,0.292000,0.292000,true,true
0.7100,uniforme,0.290000,0.290000,true,true
0.7120,uniforme,0.288000,0.288000,true,true
0.7140,uniforme,0.286000,0.286000,true,true
0.7160,uniforme,0.284000,0.284000,true,true
0.7180,uniforme,0.282000,0.282000,true,true
0.7200,uniforme,0.280000,0.280000,true,true
0.7220,uniforme,0.278000,0.278000,true,true
0.7240,uniforme,0.276000,0.276000,true,true
0.7260,uniforme,0.274000,0.274000,true,true
0.7280,uniforme,0.272000,0.272000,true,true
0.7300,uniforme,0.270000,0.270000,true,true
0.7320,uniforme,0.268000,0.268000,true,true
0.7340,uniforme,0.266000,0.266000,true,true
0.7360,uniforme,0.264000,0.264000,true,true
0.7380,uniforme,0.262000,0.262000,true,true
0.7400,uniforme,0.260000,0.260000,true,true
0.7420,uniforme,0.258000,0.258000,true,true
0.7440,uniforme,0.256000,0.256000,true,true
0.7460,uniforme,0.254000,0.254000,true,true
0.7480,uniforme,0.252000,0.252000,true,true
0.7500,uniforme,0.250000,0.250000,true,true
0.7520,uniforme,0.248000,0.248000,true,true
0.7540,uniforme,0.246000,0.246000,true,true
0.7560,uniforme,0.244000,0.244000,true,true
0.7580,uniforme,0.242000,0.242000,true,true
0.7600,uniforme,0.240000,0.240000,true,true
0.7620,uniforme,0.238000,0.238000,true,true
0.7640,uniforme,0.236000,0.236000,true,true
0.7660,uniforme,0.234000,0.234000,true,true
0.7680,uniforme,0.232000,0.232000,true,true
0.7700,uniforme,0.230000,0.230000,true,true
0.7720,uniforme,0.228000,0.228000,true,true
0.7740,uniforme,0.226000,0.226000,true,true
0.7760,uniforme,0.224000,0.224000,true,true
0.7780,uniforme,0.222000,0.222000,true,true
0.7800,uniforme,0.220000,0.220000,true,true
0.7820,uniforme,0.218000,0.218000,true,true
0.7840,uniforme,0.216000,0.216000,true,true
0.7860,uniforme,0.214000,0.214000,true,true
0.7880,uniforme,0.212000,0.212000,true,true
0.7900,uniforme,0.210000,0.210000,true,true
0.7920,uniforme,0.208000,0.208000,true,true
0.7940,uniforme,0.206000,0.206000,true,true
0.7960,uniforme,0.204000,0.204000,true,true
0.7980,uniforme,0.202000,0.202000,true,true
0.8000,uniforme,0.200000,0.200000,true,true
0.8020,uniforme,0.198000,0.198000,true,true
0.8040,uniforme,0.196000,0.196000,true,true
0.8060,uniforme,0.194000,0.194000,true,true
0.8080,uniforme,0.192000,0.192000,true,true
0.8100,uniforme,0.190000,0.190000,true,true
0.8120,uniforme,0.188000,0.188000,true,true
0.8140,uniforme,0.186000,0.186000,true,true
0.8160,uniforme,0.184000,0.184000,true,true
0.8180,uniforme,0.182000,0.182000,true,true
0.8200,uniforme,0.180000,0.180000,true,true
0.8220,uniforme,0.178000,0.178000,true,true
0.8240,uniforme,0.176000,0.176000,true,true
0.8260,uniforme,0.174000,0.174000,true,true
0.8280,uniforme,0.172000,0.172000,true,true
0.8300,uniforme,0.170000,0.170000,true,true
0.8320,uniforme,0.168000,0.168000,true,true
0.8340,uniforme,0.166000,0.166000,true,true
0.8360,uniforme,0.164000,0.164000,true,true
